Considerando	VERB.Ger	considerar
esses	DET.Masc.Plur	esse
pressupostos	NOUN.Masc.Plur	pressuposto
,	PUNCT.Comma	,
e	CCONJ	e
em	ADP	em
articulação	NOUN.Fem.Sing	articulação
com	ADP	com
as	DET.Fem.Plur	o
competências	NOUN.Fem.Plur	competência
gerais	ADJ.Fem.Plur	geral
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Básica	ADJ.Fem.Sing	básico
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Ensino	NOUN.Sing	Ensino
Religioso	ADJ.Masc.Sing	religioso
e	CCONJ	e
,	PUNCT.Comma	,
por	ADP	por
consequência	NOUN.Fem.Sing	consequência
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
componente	NOUN.Masc.Sing	componente
curricular	ADJ.Masc.Sing	curricular
de	ADP	de
Ensino	NOUN.Masc.Sing	ensino
Religioso	ADJ.Masc.Sing	religioso
,	PUNCT.Comma	,
devem	AUX.Fin.Plur	dever
garantir	VERB.Inf	garantir
aos	ADP_DET.Masc.Plur	a_o
alunos	NOUN.Masc.Plur	aluno
o	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
das	ADP_DET.Fem.Plur	de_o
Competências	NOUN.Fem.Plur	competência
Específicas	ADJ.Fem.Plur	específico
:	PUNCT.Colon	:
